battery_id,Cycle,SOH,ambient_temperature,Rct,charge_current(A),discharge_current(A),discharge_voltage(V),discharge capacity,charge capacity,Coulombic efficiency,,,,,,,,,,,,
B0029,1,100,43,0.0402604689,1.5,4,2,1.746650947,1.917801906,91.07567058,,,,,,,,,,,,
B0029,2,108.6711776,43,0.0402604689,1.5,4,2,1.892636307,1.896421891,99.80038286,,,,,,,,,,,,
B0029,3,107.5363642,43,0.0402604689,1.5,4,2,1.873098299,1.882355888,99.50819136,,,,,,,,,,,,
B0029,4,106.96569,43,0.0402604689,1.5,4,2,1.863450192,1.874555945,99.40755288,,,,,,,,,,,,
B0029,5,106.8212961,43,0.0402604689,1.5,4,2,1.849357716,1.860423915,99.40517861,,,,,,,,,,,,
B0029,6,106.9311883,43,0.0402127062,1.5,4,2,1.864328378,1.882970125,99.00998177,,,,,,,,,,,,
B0029,7,106.8821183,43,0.0401649435,1.5,4,2,1.852334418,1.859834799,99.59671788,,,,,,,,,,,,
B0029,8,106.116985,43,0.0401171808,1.5,4,2,1.839104632,1.849028077,99.46331564,,,,,,,,,,,,
B0029,9,105.3400976,43,0.0400694181,1.5,4,2,1.825951681,1.833147848,99.60744207,,,,,,,,,,,,
B0029,10,104.6282055,43,0.0400216554,1.5,4,2,1.814932632,1.817096668,99.88090697,,,,,,,,,,,,
B0029,11,105.1707236,43,0.040153383,1.5,4,2,1.835197612,1.848743019,99.26731801,,,,,,,,,,,,
B0029,12,104.2594401,43,0.0402851106,1.5,4,2,1.819447394,1.82691904,99.5910248,,,,,,,,,,,,
B0029,13,103.4766174,43,0.0404168382,1.5,4,2,1.806104429,1.814016291,99.56384839,,,,,,,,,,,,
B0029,14,103.3480854,43,0.0405485658,1.5,4,2,1.79310048,1.801515247,99.53290614,,,,,,,,,,,,
B0029,15,102.4612688,43,0.0406802934,1.5,4,2,1.789255297,1.796027327,99.62294397,,,,,,,,,,,,
B0029,16,104.846941,43,0.0407025935,1.5,4,2,1.818966598,1.839962157,98.85891353,,,,,,,,,,,,
B0029,17,104.0177452,43,0.0407248936,1.5,4,2,1.806052654,1.813357808,99.59714767,,,,,,,,,,,,
B0029,18,103.2333768,43,0.0407471937,1.5,4,2,1.792227504,1.798516999,99.65029549,,,,,,,,,,,,
B0029,19,102.3865458,43,0.0407694939,1.5,4,2,1.777842924,1.786660355,99.50648532,,,,,,,,,,,,
B0029,20,101.9860952,43,0.040791794,1.5,4,2,1.770688183,1.779634704,99.49728333,,,,,,,,,,,,
B0029,21,102.3802882,43,0.0407073079,1.5,4,2,1.789626567,1.802756564,99.27167108,,,,,,,,,,,,
B0029,22,101.4680194,43,0.0406228218,1.5,4,2,1.763152815,1.771774026,99.51341361,,,,,,,,,,,,
B0029,23,101.2320444,43,0.0405383358,1.5,4,2,1.75847296,1.767960801,99.46334555,,,,,,,,,,,,
B0029,24,100.2070542,43,0.0404538497,1.5,4,2,1.742056472,1.752972555,99.37728157,,,,,,,,,,,,
B0029,25,99.77563616,43,0.0403693636,1.5,4,2,1.734437095,1.743385852,99.48670243,,,,,,,,,,,,
B0029,26,100.9169556,43,0.0404599143,1.5,4,2,1.754729502,1.765575796,99.38567952,,,,,,,,,,,,
B0029,27,100.0111892,43,0.040550465,1.5,4,2,1.738617996,1.743654707,99.71114056,,,,,,,,,,,,
B0029,28,99.55370273,43,0.0406410158,1.5,4,2,1.730717053,1.737937657,99.58453037,,,,,,,,,,,,
B0029,29,99.26458162,43,0.0407315665,1.5,4,2,1.714630284,1.723972736,99.45808589,,,,,,,,,,,,
B0029,30,98.87379769,43,0.0408221172,1.5,4,2,1.707597007,1.720527621,99.24845062,,,,,,,,,,,,
B0029,31,98.60309394,43,0.0407974184,1.5,4,2,1.715061018,1.721301922,99.63743116,,,,,,,,,,,,
B0029,32,98.3082583,43,0.0407727196,1.5,4,2,1.698036087,1.698744394,99.95830405,,,,,,,,,,,,
B0029,33,97.15755563,43,0.0407480208,1.5,4,2,1.690909871,1.698598264,99.54736835,,,,,,,,,,,,
B0029,34,96.66925406,43,0.0407233221,1.5,4,2,1.682393492,1.693299316,99.35594237,,,,,,,,,,,,
B0029,35,96.94426597,43,0.0406986233,1.5,4,2,1.674319033,1.680554199,99.62898156,,,,,,,,,,,,
B0029,36,97.46925461,43,0.0408199543,1.5,4,2,1.69653373,1.70717249,99.37681985,,,,,,,,,,,,
B0029,37,96.97278597,43,0.0409412854,1.5,4,2,1.677034912,1.680697944,99.78205297,,,,,,,,,,,,
B0029,38,95.87657667,43,0.0410626165,1.5,4,2,1.67004768,1.681738339,99.3048467,,,,,,,,,,,,
B0029,39,95.43717559,43,0.0411839476,1.5,4,2,1.662839012,1.6681358,99.68247261,,,,,,,,,,,,
B0029,40,94.96747267,43,0.0413052786,1.5,4,2,1.654040712,1.661605617,99.54472318,,,,,,,,,,,,
B0030,1,100,43,0.074650396,1.5,4,2.2,1.703503894,1.856295714,91.76899354,,,,,,,,,,,,
B0030,2,107.5772292,43,0.074650396,1.5,4,2.2,1.817859774,1.827728914,99.4600326,,,,,,,,,,,,
B0030,3,106.3945714,43,0.074650396,1.5,4,2.2,1.798612379,1.810478446,99.34458942,,,,,,,,,,,,
B0030,4,105.7777985,43,0.074650396,1.5,4,2.2,1.788647338,1.800124223,99.36243927,,,,,,,,,,,,
B0030,5,104.9574092,43,0.074650396,1.5,4,2.2,1.775549648,1.789457817,99.22277192,,,,,,,,,,,,
B0030,6,105.7125535,43,0.0746299143,1.5,4,2.2,1.798712243,1.819299757,98.86838253,,,,,,,,,,,,
B0030,7,105.617765,43,0.0746094326,1.5,4,2.2,1.786230366,1.793930529,99.5707658,,,,,,,,,,,,
B0030,8,104.1775872,43,0.0745889508,1.5,4,2.2,1.763404614,1.77954658,99.09291692,,,,,,,,,,,,
B0030,9,103.3326796,43,0.0745684691,1.5,4,2.2,1.74955268,1.76059411,99.37285771,,,,,,,,,,,,
B0030,10,102.5947704,43,0.0745479874,1.5,4,2.2,1.737571433,1.762814178,98.56804278,,,,,,,,,,,,
B0030,11,103.7743798,43,0.0745606837,1.5,4,2.2,1.757808695,1.772040804,99.19685209,,,,,,,,,,,,
B0030,12,102.8487082,43,0.07457338,1.5,4,2.2,1.741946105,1.754934788,99.25987664,,,,,,,,,,,,
B0030,13,102.0160635,43,0.0745860763,1.5,4,2.2,1.72805337,1.736718439,99.50106656,,,,,,,,,,,,
B0030,14,101.1800837,43,0.0745987726,1.5,4,2.2,1.714999602,1.721529412,99.62069717,,,,,,,,,,,,
B0030,15,100.9522604,43,0.074611469,1.5,4,2.2,1.710345188,1.726559867,99.06086782,,,,,,,,,,,,
B0030,16,104.059915,43,0.0748177205,1.5,4,2.2,1.761286099,1.785594415,98.63864291,,,,,,,,,,,,
B0030,17,103.2086,43,0.0750239721,1.5,4,2.2,1.74860606,1.753724301,99.7081502,,,,,,,,,,,,
B0030,18,101.6865902,43,0.0752302236,1.5,4,2.2,1.723928299,1.729422031,99.68233713,,,,,,,,,,,,
B0030,19,100.7799413,43,0.0754364752,1.5,4,2.2,1.70860042,1.71293818,99.74676493,,,,,,,,,,,,
B0030,20,100.3622024,43,0.0756427267,1.5,4,2.2,1.70251665,1.714076738,99.32557935,,,,,,,,,,,,
B0030,21,100.7629115,43,0.0754867733,1.5,4,2.2,1.709128807,1.720983583,99.31116278,,,,,,,,,,,,
B0030,22,99.80022434,43,0.0753308198,1.5,4,2.2,1.692919959,1.703977263,99.3510885,,,,,,,,,,,,
B0030,23,99.5417319,43,0.0751748664,1.5,4,2.2,1.677544402,1.688256549,99.36549056,,,,,,,,,,,,
B0030,24,98.47047794,43,0.075018913,1.5,4,2.2,1.670385957,1.67846669,99.51856459,,,,,,,,,,,,
B0030,25,98.01696985,43,0.0748629596,1.5,4,2.2,1.664523297,1.677327991,99.23660166,,,,,,,,,,,,
B0030,26,99.88648095,43,0.0749724225,1.5,4,2.2,1.68334485,1.70499681,98.73008795,,,,,,,,,,,,
B0030,27,98.93988741,43,0.0750818854,1.5,4,2.2,1.667026538,1.67801883,99.34492444,,,,,,,,,,,,
B0030,28,97.75233399,43,0.0751913484,1.5,4,2.2,1.65955765,1.660996815,99.9133553,,,,,,,,,,,,
B0030,29,97.42466399,43,0.0753008113,1.5,4,2.2,1.642295453,1.656777445,99.12589398,,,,,,,,,,,,
B0030,30,97.01545036,43,0.0754102743,1.5,4,2.2,1.636322381,1.643666622,99.55317941,,,,,,,,,,,,
B0030,31,97.44987794,43,0.0755329549,1.5,4,2.2,1.644055858,1.656396307,99.25498215,,,,,,,,,,,,
B0030,32,96.39259897,43,0.0756556356,1.5,4,2.2,1.63855895,1.647355283,99.46603303,,,,,,,,,,,,
B0030,33,95.95476047,43,0.0757783162,1.5,4,2.2,1.630704376,1.630542454,100.0099305,,,,,,,,,,,,
B0030,34,95.43965904,43,0.0759009969,1.5,4,2.2,1.621968491,1.639860033,98.90895919,,,,,,,,,,,,
B0030,35,95.6851173,43,0.0760236776,1.5,4,2.2,1.614553222,1.62294358,99.48301604,,,,,,,,,,,,
B0030,36,96.23171336,43,0.0758641453,1.5,4,2.2,1.635425567,1.644012438,99.47768818,,,,,,,,,,,,
B0030,37,95.70771943,43,0.075704613,1.5,4,2.2,1.615680384,1.62410176,99.48147485,,,,,,,,,,,,
B0030,38,95.32845325,43,0.0755450807,1.5,4,2.2,1.609011094,1.618099345,99.43833787,,,,,,,,,,,,
B0030,39,94.84532284,43,0.0753855485,1.5,4,2.2,1.601888053,1.603395412,99.90598953,,,,,,,,,,,,
B0030,40,94.3667737,43,0.0752260162,1.5,4,2.2,1.59221009,1.600100118,99.50690411,,,,,,,,,,,,
B0031,1,100,43,0.0520810152,1.5,4,2.5,1.682579546,1.871848935,89.88863976,,,,,,,,,,,,
B0031,2,109.9709391,43,0.0520810152,1.5,4,2.5,1.848998884,1.852823156,99.79359756,,,,,,,,,,,,
B0031,3,108.8384531,43,0.0520810152,1.5,4,2.5,1.840478305,1.84643755,99.67725715,,,,,,,,,,,,
B0031,4,108.2657701,43,0.0520810152,1.5,4,2.5,1.830802899,1.837880898,99.61488263,,,,,,,,,,,,
B0031,5,108.1283078,43,0.0520810152,1.5,4,2.5,1.829085065,1.836327623,99.60559557,,,,,,,,,,,,
B0031,6,106.2933412,43,0.0519480992,1.5,4,2.5,1.798534285,1.863288015,96.52476002,,,,,,,,,,,,
B0031,7,108.8390121,43,0.0518151832,1.5,4,2.5,1.829407531,1.835392869,99.67389335,,,,,,,,,,,,
B0031,8,108.0790133,43,0.0516822672,1.5,4,2.5,1.817861217,1.821252108,99.81381539,,,,,,,,,,,,
B0031,9,107.3017865,43,0.0515493512,1.5,4,2.5,1.815977197,1.822703945,99.63094678,,,,,,,,,,,,
B0031,10,106.5918646,43,0.0514164352,1.5,4,2.5,1.804333178,1.810721725,99.64718229,,,,,,,,,,,,
B0031,11,107.1367066,43,0.0513571438,1.5,4,2.5,1.813271016,1.833210357,98.91232663,,,,,,,,,,,,
B0031,12,106.8812574,43,0.0512978524,1.5,4,2.5,1.809588218,1.818176375,99.52764998,,,,,,,,,,,,
B0031,13,106.1088474,43,0.0512385609,1.5,4,2.5,1.796894521,1.804787276,99.5626767,,,,,,,,,,,,
B0031,14,105.989772,43,0.0511792695,1.5,4,2.5,1.783099428,1.78947379,99.64378564,,,,,,,,,,,,
B0031,15,105.1038939,43,0.051119978,1.5,4,2.5,1.779129893,1.780305532,99.93396416,,,,,,,,,,,,
B0031,16,104.1135632,43,0.0510683307,1.5,4,2.5,1.763825168,1.837956077,95.96666595,,,,,,,,,,,,
B0031,17,106.6961237,43,0.0510166834,1.5,4,2.5,1.805312089,1.816934315,99.36033866,,,,,,,,,,,,
B0031,18,105.8988273,43,0.0509650362,1.5,4,2.5,1.793963006,1.790603924,100.1875949,,,,,,,,,,,,
B0031,19,105.7549359,43,0.0509133889,1.5,4,2.5,1.779955155,1.789270132,99.47939795,,,,,,,,,,,,
B0031,20,104.6583391,43,0.0508617416,1.5,4,2.5,1.773932368,1.782595505,99.51401556,,,,,,,,,,,,
B0031,21,105.7697013,43,0.0510933808,1.5,4,2.5,1.780322285,1.799634652,98.92687289,,,,,,,,,,,,
B0031,22,104.8709393,43,0.05132502,1.5,4,2.5,1.777925975,1.781881634,99.77800662,,,,,,,,,,,,
B0031,23,104.6464686,43,0.0515566592,1.5,4,2.5,1.762145861,1.768021295,99.66768309,,,,,,,,,,,,
B0031,24,103.6100075,43,0.0517882984,1.5,4,2.5,1.75525685,1.764359583,99.48407722,,,,,,,,,,,,
B0031,25,103.2180328,43,0.0520199376,1.5,4,2.5,1.749562277,1.757677654,99.53828979,,,,,,,,,,,,
B0031,26,104.3649391,43,0.0518696688,1.5,4,2.5,1.769758492,1.786684385,99.05266466,,,,,,,,,,,,
B0031,27,104.2037733,43,0.0517193999,1.5,4,2.5,1.755163338,1.763308271,99.53808796,,,,,,,,,,,,
B0031,28,103.017281,43,0.0515691311,1.5,4,2.5,1.747031202,1.752229959,99.7033062,,,,,,,,,,,,
B0031,29,102.7661155,43,0.0514188622,1.5,4,2.5,1.730300754,1.740836799,99.39477126,,,,,,,,,,,,
B0031,30,102.365977,43,0.0512685934,1.5,4,2.5,1.723911693,1.731272358,99.57484076,,,,,,,,,,,,
B0031,31,102.8234357,43,0.0512341806,1.5,4,2.5,1.732268424,1.746440432,99.18852035,,,,,,,,,,,,
B0031,32,102.56033,43,0.0511997678,1.5,4,2.5,1.727847483,1.733878234,99.65218141,,,,,,,,,,,,
B0031,33,101.4054839,43,0.051165355,1.5,4,2.5,1.719992389,1.727568364,99.56146595,,,,,,,,,,,,
B0031,34,101.6807798,43,0.0511309423,1.5,4,2.5,1.712618672,1.719930397,99.57488253,,,,,,,,,,,,
B0031,35,101.2201416,43,0.0510965295,1.5,4,2.5,1.704900139,1.715080131,99.40644223,,,,,,,,,,,,
B0031,36,101.7418936,43,0.0512315122,1.5,4,2.5,1.726458369,1.743727606,99.0096368,,,,,,,,,,,,
B0031,37,101.2612953,43,0.051366495,1.5,4,2.5,1.71920304,1.722358652,99.81678545,,,,,,,,,,,,
B0031,38,100.9171864,43,0.0515014777,1.5,4,2.5,1.700123288,1.70674663,99.61193176,,,,,,,,,,,,
B0031,39,100.4996891,43,0.0516364605,1.5,4,2.5,1.693161769,1.701205371,99.52718217,,,,,,,,,,,,
B0031,40,100.0374149,43,0.0517714432,1.5,4,2.5,1.685811744,1.694713784,99.47471715,,,,,,,,,,,,
B0032,1,90.01242587,43,0.0794502575,1.5,4,2.7,1.710456368,1.936755362,88.31556123,,,,,,,,,,,,
B0032,2,100,43,0.0792576069,1.5,4,2.7,1.899208591,1.899160253,100.0025452,,,,,,,,,,,,
B0032,3,98.98294728,43,0.0790649562,1.5,4,2.7,1.879184462,1.880423888,99.93408796,,,,,,,,,,,,
B0032,4,98.49330766,43,0.0788723055,1.5,4,2.7,1.869831137,1.873415708,99.80866119,,,,,,,,,,,,
B0032,5,97.81988177,43,0.0786796549,1.5,4,2.7,1.858278427,1.856620684,100.0892882,,,,,,,,,,,,
B0032,6,97.36764971,43,0.0788728223,1.5,4,2.7,1.849113692,1.855266643,99.66835218,,,,,,,,,,,,
B0032,7,97.30690367,43,0.0790659897,1.5,4,2.7,1.847558657,1.846941103,100.0334366,,,,,,,,,,,,
B0032,8,96.63415735,43,0.0792591572,1.5,4,2.7,1.835514486,1.838016461,99.86387639,,,,,,,,,,,,
B0032,9,95.95317772,43,0.0794523246,1.5,4,2.7,1.821606467,1.824758112,99.82728419,,,,,,,,,,,,
B0032,10,95.3415435,43,0.079645492,1.5,4,2.7,1.809794247,1.797427377,100.6880317,,,,,,,,,,,,
B0032,11,95.82641718,43,0.0796602857,1.5,4,2.7,1.82021915,1.816994231,100.1774865,,,,,,,,,,,,
B0032,12,95.00975073,43,0.0796750793,1.5,4,2.7,1.803564799,1.795779351,100.4335415,,,,,,,,,,,,
B0032,13,94.33059942,43,0.079689873,1.5,4,2.7,1.790817996,1.776074736,100.8301036,,,,,,,,,,,,
B0032,14,93.63913156,43,0.0797046666,1.5,4,2.7,1.778166529,1.764002518,100.8029473,,,,,,,,,,,,
B0032,15,93.45118655,43,0.0797194603,1.5,4,2.7,1.775156526,1.758881192,100.9253231,,,,,,,,,,,,
B0032,16,95.01033379,43,0.0799008131,1.5,4,2.7,1.804638329,1.808467331,99.7882736,,,,,,,,,,,,
B0032,17,94.86920566,43,0.0800821659,1.5,4,2.7,1.802757002,1.792832705,100.553554,,,,,,,,,,,,
B0032,18,94.18143912,43,0.0802635186,1.5,4,2.7,1.789897783,1.784408551,100.3076219,,,,,,,,,,,,
B0032,19,93.43266076,43,0.0804448714,1.5,4,2.7,1.774467954,1.777179024,99.84745093,,,,,,,,,,,,
B0032,20,92.46380681,43,0.0806262242,1.5,4,2.7,1.756577538,1.75403699,100.1448401,,,,,,,,,,,,
B0032,21,93.43852026,43,0.0807835649,1.5,4,2.7,1.774719153,1.778885761,99.76577432,,,,,,,,,,,,
B0032,22,92.64747043,43,0.0809409056,1.5,4,2.7,1.758852886,1.749305702,100.5457699,,,,,,,,,,,,
B0032,23,91.81031149,43,0.0810982463,1.5,4,2.7,1.743505422,1.74463459,99.93527766,,,,,,,,,,,,
B0032,24,91.53594528,43,0.0812555869,1.5,4,2.7,1.737173653,1.738604752,99.9176869,,,,,,,,,,,,
B0032,25,90.55270991,43,0.0814129276,1.5,4,2.7,1.720894569,1.708469798,100.7272456,,,,,,,,,,,,
B0032,26,92.19974417,43,0.0812862075,1.5,4,2.7,1.75133353,1.752820633,99.91515945,,,,,,,,,,,,
B0032,27,90.76664517,43,0.0811594875,1.5,4,2.7,1.723684278,1.720745765,100.1707697,,,,,,,,,,,,
B0032,28,90.36712627,43,0.0810327674,1.5,4,2.7,1.717780956,1.710496546,100.4258652,,,,,,,,,,,,
B0032,29,89.49717649,43,0.0809060473,1.5,4,2.7,1.699649869,1.700712527,99.93751688,,,,,,,,,,,,
B0032,30,89.78266891,43,0.0807793272,1.5,4,2.7,1.706112904,1.706684309,99.96651958,,,,,,,,,,,,
B0032,31,90.18321643,43,0.080905817,1.5,4,2.7,1.713407728,1.71076677,100.1543728,,,,,,,,,,,,
B0032,32,89.30342639,43,0.0810323068,1.5,4,2.7,1.697447496,1.690455027,100.4136442,,,,,,,,,,,,
B0032,33,88.93458373,43,0.0811587965,1.5,4,2.7,1.689620974,1.691794881,99.8715029,,,,,,,,,,,,
B0032,34,87.85689066,43,0.0812852863,1.5,4,2.7,1.670289811,1.6672683,100.1812253,,,,,,,,,,,,
B0032,35,88.09973871,43,0.0814117761,1.5,4,2.7,1.673256761,1.675748098,99.85132983,,,,,,,,,,,,
B0032,36,89.22417624,43,0.0814465576,1.5,4,2.7,1.696236206,1.697083808,99.95005538,,,,,,,,,,,,
B0032,37,88.14168686,43,0.081481339,1.5,4,2.7,1.674598035,1.6690242,100.3339577,,,,,,,,,,,,
B0032,38,87.82442523,43,0.0815161205,1.5,4,2.7,1.669109839,1.663928711,100.3113792,,,,,,,,,,,,
B0032,39,86.77864263,43,0.081550902,1.5,4,2.7,1.64992869,1.648396959,100.0929225,,,,,,,,,,,,
B0032,40,86.36602382,43,0.0815856835,1.5,4,2.7,1.642372042,1.642341952,100.0018322,,,,,,,,,,,,
